ABCC3
XPR1
MS4A6A
MAP1B
STAT3
ACTR2
PCCA
LYZ
LDHD
CRYAB
ST7
HLA-DMB
TACSTD2
FICD
GNS
BCYRN1
PDK2
VLDLR
SLCO2B1
SNCG
MFSD1
CANX
OBFC2A
HSPA5
MYL9
EBI2
GPR137B
HN1
HSPH1
UBP1
WIPI1
C3AR1
RAB9A
C1QC
SDSL
OSGIN1
FAT1
TRAF3IP1
CD52
TNFAIP3
NDRG4
AKTIP
PYCARD
FAM173B
HCCS
CCDC107
VSIG4
GOLGA3
MN1
TMEM49
RGS19
ENO1
NCRNA00152
HSPB8
PLEKHO2
FADS3
LPIN1
M6PRBP1
LAPTM5
FCGR2A
ALDH1L1
TM2D2
SFRP4
AP2M1
EIF3H
SYK
PDE1B
GNA12
LMBRD2
CD68
S100A1
MRPS2
COMMD8
HIGD1B
PPP2R4
SEMA3C
PRRG1
GCNT1
TEX2
DHRS9
RAB7L1
ADCK1
CCDC80
SLC25A38
TMEM160
MYOF
WDR7
ERI1
SPARC
DNHD1
COL12A1
MPST
STAT1
ORMDL3
RPS18
RAP2A
MATK
ADSS
ANXA1
CLIP1
PTDSS1
MAPRE1
RAB3C
SKAP2
PTPN3
SULT1A4
TMEM100
FGD2
PLAG1
AIF1
MBD2
SUSD1
CLN8
TAF1B
TLR8
SAMD4A
HCK
MAN2B1
PSMC2
HLF
CPVL
AQP1
GNA15
HLA-DRA
GLIPR1
PLD3
CAPZB
SNHG6
RPL35
TMEM19
NCRNA00219
ANXA7
METTL1
DAG1
C5AR1
CD163
NCKAP1L
TLE2
RNF125
FAM171A1
TMEM138
TMEM67
RPL4
ALDH1A3
ANXA2
ACACB
NMT2
PMPCB
PIGW
VOPP1
CD53
SLC39A11
BCAT2
CCNB1IP1
FREM1
HK3
LIME1
TRAM1
SPI1
AADACL1
SERPINE1
FCGR2B
SLC25A43
ODZ4
PITPNA
FAM105A
RANBP3L
GLA
AASS
STK38L
GCHFR
FCER1G
DAB2
CIRBP
FAM190B
LGI2
COMT
HSD11B1
NIP30
PPARA
FEN1
CD248
CABLES1
SCRN2
DYNLL1
AACS
TMEM165
EIF3E
FCGBP
AP3S1
ARPC2
PNO1
TPM4
SLC38A6
HRASLS
B4GALT5
CSNK2A2
CTGF
GCNT2
CLPTM1L
NDUFB11
RNASE6
TMEM120A
MAP2K1
PLEK
EPB41L1
LAMP1
CYB561D2
CTSA
LILRB2
ECSIT
USP5
PHLPP1
DCXR
FTH1
TLN1
CDKN2B
PXMP2
SPTAN1
EHD4
LGALS9
CXCL10
TNIP1
KRT24
EFHD2
NLRP3
ATP1B1
SVEP1
DNAJC27
LPGAT1
TMEM52
SLC19A3
OSBPL3
MNDA
ETV5
LPXN
ETV6
HYI
LOXL4
ELP2
IRAK2
CHI3L1
CCDC109B
CD151
ZYX
MYO9B
SNHG1
RYR1
OAT
CARD9
ABHD4
MMP28
RNF14
TYMS
ITGAE
UCHL3
PTPRO
HOXC8
IRF8
PIR
RPL18
PTPRE
OGFOD1
TTC13
DPP3
ATP2A2
IDE
HNRPA1P4
TPST2
H2AFY2
IPO13
CORO7
RPS27L
ZNF219
WAS
PAK1IP1
NTAN1
C1QB
MGP
DOCK2
PSMD7
LETMD1
MRPL41
ZNF583
EXT1
FGFRL1
ITGAX
ASPH
HLA-DPA1
EIF2S1
AKIRIN2
LBP
EIF4EBP2
MR1
ALDH1A2
SERAC1
ARPC5
ADAM32
ETF1
ITGAM
BAMBI
ARHGAP4
GLS
CYB5A
MKNK2
CPPED1
LILRA6
PHB2
SLC16A5
SPRED1
KPNA1
CAPNS1
LHCGR
INHBB
TMED9
SLC24A3
GYG1
CTPS
GLRX
ADAM9
RPS6P1
RARA
BBX
RPL27
PSMD14
SLC41A2
CXCL9
DENND5A
EEA1
CLIP3
UBAP2
DBNDD1
ABHD5
TYMP
AP3B1
RPS6KA1
PON2
CRLS1
BPHL
RHOQ
DIXDC1
CENPV
KPNA3
SLC35A3
DCTPP1
DDIT3
SNX6
C1QTNF5
ALDH4A1
ALG11
RPL35A
USP9X
ATRN
APOM
LAMP2
CTSH
PLS3
RAD51AP1
PLA2G15
GINS3
DBP
STOX1
CPT1B
RNH1
CD33
ACOT9
ST3GAL6
TBC1D2
CLINT1
FGR
OMD
CLU
LRPPRC
ZNF154
NUP188
SUCLG2
FEZ1
SEC62
DCK
REEP5
CKLF
SOCS4
TFRC
SKP1
FAM122A
RNF11
PYGM
AGA
MARCH2
PRMT7
RASSF2
TMEM64
BOK
CCL19
FTHL12
PLCB2
TSHZ3
ATP6V1A
PHKA2
PDE12
FAU
RBBP9
IL10RB
HEATR5A
RPS15A
HIGD2A
SLC46A3
TM6SF1
FAHD2B
ECHDC3
POTEF
ATG4C
HOMER3
DPH2
EPB41L3
TSHZ2
CHST3
CD74
PTTG1IP
TRAPPC1
DUSP14
CD4
EVI2B
PARVG
SLIT2
TMEM56
TBXAS1
PCBD1
FAM20B
CD14
BCL7B
LYN
NDST1
CMPK1
TPM3
UBE2T
PCLO
SGCB
FYB
FNIP1
P76
SLC38A10
FTHL3
TNFAIP6
RRP12
RHOA
AGFG1
BPGM
BTK
COTL1
JAZF1
MKX
AHNAK
CLEC4A
BRE
LMNA
ECHS1
AP1S2
TMEM158
PSMD9
CCDC109A
SLC16A3
ICAM3
ENTPD1
E2F3
DRAM1
CYBA
TRAP1
ARHGEF16
GNPTAB
POLR2I
FTHL2
H2AFY
C1QA
NDUFB8
UFM1
CAP1
PECR
TRAM2
SNAPC2
XPOT
GM2A
DHDDS
STXBP5
TNS3
SLC36A1
GPR65
LACTB
PSMD1
SCARB2
PI4K2A
PIGT
FGF9
DNAJC15
PIK3AP1
CSF1R
SCPEP1
TMEM30A
ACAP1
FAM102B
GOLM1
SCYL2
FYN
PLXNB2
VENTX
EBNA1BP2
MOGAT1
FAM92A1
PSMA4
RECQL
P2RX7
RICH2
CAPZA2
CBS
ITGB1
G3BP2
CSNK1G3
INTS7
GSTO1
RPS13
C2
MYO1D
RAB10
DNM1L
CKB
EMR2
RNASEL
RPS16
MXRA5
PTRH2
MACROD1
EIF3L
ZFHX3
PCDH7
RAC2
ETNK1
PPT1
ACTR3
TP53
VEGFA
LY86
AIMP2
ACTB
MSL3
ECT2
KIF22
CECR4
PDLIM1
AFF3
HSPA8
RPL11
MARS
DCBLD2
P704P
FLNA
FILIP1L
HLA-DRB6
SLC29A3
RPL39
TMEM185B
ZSWIM6
CTSD
RGL1
PHIP
STARD7
TSPAN33
CREG1
RHOXF1
DNAJB4
FBXL10
CREB3L2
CHSY3
ARRDC4
GDF10
RAB6B
ALOX5
LY96
RPS14
COX5B
HTATIP2
RPP40
SC5DL
NMNAT2
RPS2
LGALS12
MEX3B
PSAP
OGFRL1
TMEM188
PLXDC2
SLFN12
SNHG3-RCC1
SLC35B4
DNAJC10
SPATA18
ASCC3
GPT2
DOK2
LRIG1
SLA
MAPK9
FTHL11
C1S
OSBPL11
CCDC88A
RHOC
EVI2A
DDT
RPS10
TM9SF3
ZDHHC3
SMYD2
CD99
PMEPA1
CD37
HIP2
PELO
RENBP
EIF3K
WSB2
IER3
RAI1
ATF3
GPSM3
TOR1A
PKD2
NRIP1
TUBA1C
SLC37A3
SNORA61
DSEL
VAPA
LGMN
WNT11
B4GALT4
PIGK
PLAUR
CFH
CD209
SH2B3
dJ341D10.1
KLF15
STC1
VAV1
MANSC1
ARHGAP22
SH2D4A
DCUN1D1
FUCA2
EIF4EBP1
RGS10
RPS5
LST1
SNPH
FAM38A
LILRB5
IFT57
MAP3K5
ZNF226
AP2S1
ANXA2P3
MAN1A2
TMEM217
TNFRSF12A
SIK2
UNC93B1
UBE2E2
ZAK
PDK4
SSPO
HRASLS3
MTSS1
GHR
BEX4
GNG12
FMNL2
ITPK1
PSMC4
TNFSF13B
RSL1D1
RGS3
ICMT
H2AFX
LSM10
MAFG
RHBDD3
TMEM9B
TOMM40L
TFPT
COX8A
MXRA7
WDR51A
TLR6
RALB
DPF2
PSMA5
RNF19A
HSPA6
GSDMB
STK40
LEO1
SLC35B1
LEPR
APOB
RAI2
CSTF2
PDCL3
LOXL3
EHBP1
ARPC1B
DUSP10
C1RL
PWP1
NDUFV3
GRB2
PAQR4
MAN1A1
FASN
CALCRL
IKBKE
RAD23B
EIF2AK1
FTL
BASP1
MITF
PTPRU
THYN1
TAGLN2
RNU4ATAC
TUSC2
TRAK1
WDR86
SHOC2
ASAP2
RCN2
AKR1B1
RPL19
NDRG3
CDKN1A
S100A4
CHKA
CFL1
STX2
SH3BGRL
MYD88
MSTO1
LIPE
LHFPL2
GPHN
NRCAM
TMED10P
ARL4A
NEIL2
PBLD
FFAR2
PTK2B
NPC2
WISP2
LUM
CHPF2
MRPS9
PHLDA1
CDC34
MS4A4A
ITFG1
ALG1
PNPLA6
TSGA14
ATP6V1B2
AVPI1
RNU6-1
RNU6-15
TBCA
CHMP1B
CENTA1
GOLGA5
SPIRE1
PRAMEF13
NIPSNAP3B
CXorf26
SRP19
FUCA1
DLEU2
TPP1
RPS25
ANKRD33
COL6A6
RIPK2
ATP6V1F
RBPJ
WDR12
FCGRT
UBL3
DEF6
GGA2
ANKRD28
LTV1
FTHL7
ADRA2A
ATF6
D2HGDH
FAM129B
ERICH1
COX6A1
PPP2CA
IL10RA
LTBP2
PPARGC1A
CAV2
GORASP2
CDKN1B
CLIC1
DNASE2
SPIC
UBE3C
NPLOC4
MSH6
SRPRB
RRS1
HACL1
GPR137
LRRN3
RPL24
CDK5
RARRES3
SLC48A1
SASH1
RALGAPB
CDC123
PTHLH
SHMT1
NUFIP2
NCKAP1
REXO2
SRPK1
GCDH
TMEM206
UGCGL1
COBLL1
GTF3C3
CPNE8
NRAS
TFE3
ACSS2
THOC7
STXBP2
RPL30
RAB2A
RPS6
AES
DGAT1
GPX1
ARHGEF10
IQGAP2
NUAK1
PSMA3
RPS9
TULP4
OPLAH
CLIC4
SNX10
ST3GAL5
HLA-DRB3
PKIA
LRRK1
PGAM1
CPEB3
ALDH3B1
ORC2L
SCNN1A
FZD9
TRIM6
SLC30A1
ADO
MDFIC
PPP2R5C
ALG8
MIF
LANCL2
SLC22A5
SLIT3
PBX3
PRDX1
TATDN2
EXD2
SQLE
HYOU1
STS
RPN2
PQLC3
PAFAH1B3
MAL
PLEKHA1
CD83
TXNDC17
RNF217
FAM110A
PUS7
ACBD4
PLSCR4
SLC35C1
NDUFB5
FTHL8
NDUFA10
HSGT1
TMEM189
TIMM23
STIM1
ACY1
EXT2
MUT
LAMB3
PER3
PCCB
FTHL16
AMOT
ANXA2P1
THBS1
RNF169
FOLR2
UCK2
MARCKS
RSL24D1
SEMA4B
RAB30
TCHP
CLPP
DDX5
NDUFS4
ABI2
BEST1
TIMP2
PSEN2
GTDC1
ARHGDIB
NUDT5
RTN4IP1
RPS8
ASAP1
TMEM159
TLR5
MRAS
SMS
ASAH1
FKBP15
ESR1
GCOM1
HOXB6
RBMS2P
DOCK10
CLEC10A
PPPDE1
TANC1
HEBP1
HSD17B8
RERG
EMILIN2
CSF1
TAOK3
HDDC2
CARHSP1
CCR2
S100A6
GALNS
PIAS2
MCOLN3
SNCAIP
TOMM7
PICALM
ZCCHC24
SH3RF3
BCAS2
MLXIPL
SYNPO2
C5
SMPD1
HSPA7
MAPK3
TUFT1
SLC31A2
AUH
FAM58A
COL5A2
MFAP3
HLA-DRB4
CASC4
ILK
PIK3CG
GSR
SDC1
CAB39
MESP1
SSBP4
NIPA2
PRTFDC1
LGI4
SLC25A1
ATG4A
ANKRD54
PALMD
EIF4G2
RPS27
MRPL10
TUBB4Q
ENPP4
ANKRD57
PPA1
DSG2
P2RY12
PJCG6
FAM13A
GALM
RPL9
PACSIN3
TGOLN2
WBP5
LRRC33
GMCL1
GAS2L1
HTR2B
EFR3A
PKDCC
RPL27A
PANX1
FKSG30
ZEB2
GOLGA9P
ATG7
COPZ1
ARPC4
TLR1
ZNF581
RFTN2
LIX1L
MAP7
TMEM8
SCAMP4
OSMR
SLC7A10
MCOLN1
GOLPH3
DZIP1L
RPL17
CBR1
GPBAR1
SNX30
SCN4A
SDF2L1
PUS1
RP2
MRPL32
PAM
CEP78
TTC30B
MED9
CHMP2B
ANGPT2
SPRY2
UBQLN3
ACTR1A
CHSY1
ATP6AP1L
RPL38
APLP2
RPL7
AOC2
ACSS3
TPK1
APH1B
RRBP1
UBA3
RGS17
AQP7
DAPK2
RPL7A
NAB1
TMOD3
LRRC25
PCNA
TBX15
AEN
ODC1
PIP5K1C
IER5L
RNY4
OSBPL9
RNF10
ITGA1
ABCF2
NOP2
FSTL3
IRS2
UGP2
SLC24A6
ZNRF3
SP100
DDX60L
SMAP2
IGDCC4
SETD3
UBE2Q1
HISPPD2A
RPS12
SLC38A2
FAM91A1
CIAO1
BMF
ADAMTSL4
CD1D
TF
COX7C
PPAPDC1B
AMD1
ZFP106
RAB43
GLCE
ELF4
MON1A
TMEM132C
RPL18A
TBC1D8
TMEM178
VCL
MAP4K1
CD44
VPS18
EIF4G3
TMEM14A
LIG4
FAM13B
PRDX6
CMTM4
PAFAH1B1
CCDC53
RPL13L
HMBS
ACER2
DNAJA1
KDELR3
IL33
YARS
DLG4
PIM1
TRPV2
AAGAB
YBX2
KLHDC5
KCNB1
APBB1IP
EDF1
TRADD
SCFD1
RPL23A
MAP4
SIN3A
DLEU1
BTG2
LONRF1
UBR2
LIPA
PREB
HPS3
TRERF1
DNAJC21
ENC1
ACTN4
CUTC
MAP4K3
STIP1
WDR61
QSOX1
MCAM
RPS20
PCDH9
FKBP9L
ADHFE1
CTSZ
ACSL3
SEMA3B
TNRC15
CDH11
CSHL1
STMN1
CSGALNACT2
MYO5A
SLC43A3
TRIM8
MAPKAP1
NRIP3
TP53I11
RAB5C
SYNCRIP
IMPAD1
ARRB1
TM9SF1
HNRPA1L-2
RALBP1
PCBP3
ZNF185
IARS
INMT
STEAP2
MGMT
ADARB1
GAA
RPAP3
TXNDC9
NME5
IMPA2
MEGF6
UBR4
ST6GALNAC2
FLI1
CORO2A
DHPS
HNRNPC
COPG2
CS
FOXO4
ADA
G3BP1
MORN2
KLHL18
CC2D2A
PCDHB3
FAM118B
DNMT1
MAL2
EIF4A2
SLC36A4
COPE
RET
ECM2
CD99L2
SLC9A6
RNASEH1
ARFGAP3
ELN
PSEN1
HRAS
PDCD2L
MAN2B2
MIR635
THADA
BMP2
ING1
DPAGT1
FAM127A
CTNNA1
RIPK3
STAMBPL1
KREMEN1
PTGER4
RRAS2
UBE2D2
TSEN15
GYPC
UGDH
CLIP2
PDXDC1
MLL4
YBX1
AGPAT3
TRIP13
ACACA
TBC1D9
SQSTM1
RPL31
NAPSA
CCNA2
EDEM3
UBTD2
TBCB
IQGAP1
PGRMC2
IFIT2
TXNIP
DDX24
DDX39
ALAS1
GMPPB
DCUN1D3
CRY1
FBXO46
GGCT
PSCD1
PYGL
RPS3A
PIGB
USP53
KCMF1
PPIL1
ANAPC7
ELL2
TRA1P2
UQCRHL
USP4
VPS37C
PGAM4
PLIN2
PLEKHM2
HPCAL1
ADRB2
FAM26E
COPB1
RCBTB2
SNAP29
PSMB3
BOLA2
TSPAN17
CA2
IFIT3
ANKRD38
GBP1
SESN1
TMBIM6
TSC22D3
GNPDA1
PFKFB4
NAGK
CYTSA
PPP1R13L
TRPM2
METRNL
RNF144A
ACADM
COMMD7
RASSF9
ELP3
USP13
CAP2
YWHAG
NDFIP1
AKIRIN1
CYFIP1
TAPBPL
PVR
SCFD2
ALDH7A1
RPL14L
FAM76A
ZNHIT3
KLHL2
SRPX
SIRT1
RPAIN
ABCC6P2
FAM26F
MYL5
TMLHE
ENTPD3
MRPL11
GLUL
DHRS7B
RPL12
TJP2
HNRPDL
RNASE4
CDH23
PDP2
PHF3
RPL3
UQCRH
RPS27A
HMGB2
BTF3
BCKDHB
IDH3B
RPS17
RFXANK
ADSSL1
PCK2
CSAD
NR3C1
RPL36AL
CSNK2A1
STXBP6
ZNF280D
CKS1B
EGFLAM
PCDH18
SVIL
ABTB1
RPL14
FDFT1
BTG3
PPIE
PPAP2B
INTU
ZNF626
PPP1R1B
RBBP6
